,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Barcelos,0,PT,1547008200,77,41.53,-8.62,41.0,3.36
1,Hobart,0,AU,1547010000,51,-42.88,147.33,64.4,17.22
2,Iqaluit,90,CA,1547010000,68,63.75,-68.52,-20.21,2.24
3,Hermanus,76,ZA,1547011346,95,-34.42,19.24,64.02,4.27
4,Atuona,68,PF,1547011347,100,-9.8,-139.03,81.12,15.19
5,Torbay,90,CA,1547006400,85,47.66,-52.73,23.0,18.34
6,Moron,68,VE,1547011347,91,10.49,-68.2,65.01,2.77
7,Punta Arenas,0,CL,1547006400,70,-53.16,-70.91,42.8,6.93
8,Najran,0,SA,1547006400,20,17.54,44.22,53.6,4.7
9,New Norfolk,0,AU,1547010000,57,-42.78,147.06,64.4,17.22
10,North Platte,1,US,1547009580,73,41.12,-100.77,19.04,3.11
11,Poum,88,MK,1547010916,84,41.28,20.71,9.84,1.81
12,Tiksi,8,RU,1547010987,0,71.64,128.87,-37.55,3.22
13,Teknaf,0,BD,1547011348,59,20.86,92.31,79.59,3.22
14,Nikolskoye,90,RU,1547010000,92,59.7,30.79,24.8,6.71
15,Tasiilaq,92,GL,1547009400,90,65.61,-37.64,32.0,31.09
16,Ushuaia,40,AR,1547006400,75,-54.81,-68.31,42.8,8.05
17,San Cristobal,75,EC,1547010000,100,-0.39,-78.55,53.6,2.24
18,Bluff,92,AU,1547009856,97,-23.58,149.07,74.82,10.16
19,Ostrovnoy,76,RU,1547011349,91,68.05,39.51,12.18,10.65
20,Vaini,0,IN,1547006400,46,15.34,74.49,73.4,4.7
21,Hervey Bay,75,AU,1547010000,48,-25.3,152.85,86.0,14.99
22,Kysyl-Syr,44,RU,1547011349,47,63.9,122.77,-29.32,5.61
23,Linxia,0,CN,1547011306,27,35.6,103.21,38.37,3.11
24,Dingle,24,PH,1547010925,57,11.0,122.67,86.34,16.13
25,Saint George,75,GR,1547009400,74,39.45,22.34,28.4,5.82
26,Presidencia Roque Saenz Pena,64,AR,1547011350,98,-26.79,-60.44,72.75,3.56
27,Faanui,88,PF,1547010908,100,-16.48,-151.75,83.55,6.02
28,Fortuna,0,ES,1547008200,52,38.18,-1.13,46.4,8.05
29,Mar del Plata,36,AR,1547011279,78,-46.43,-67.52,49.03,11.65
30,Rikitea,92,PF,1547009854,96,-23.12,-134.97,80.35,12.88
31,Meulaboh,12,ID,1547011350,100,4.14,96.13,84.13,3.33
32,Razole,0,IN,1547011351,99,16.48,81.84,77.79,5.61
33,Albany,90,US,1547009820,85,42.65,-73.75,39.02,11.41
34,Leningradskiy,0,RU,1547010921,95,69.38,178.42,-7.72,21.94
35,Kavaratti,0,IN,1547011277,100,10.57,72.64,82.42,9.6
36,Dikson,44,RU,1547010900,96,73.51,80.55,-12.04,10.31
37,Shiraoi,40,JP,1547010000,46,42.56,141.33,30.2,8.05
38,Mataura,92,NZ,1547009851,83,-46.19,168.86,63.88,19.22
39,Busselton,0,AU,1547009862,71,-33.64,115.35,79.5,5.06
40,Puerto Ayora,0,EC,1547010899,100,-0.74,-90.35,73.92,7.25
41,Vao,92,EE,1547011280,92,59.1,26.19,21.13,5.57
42,Cidreira,76,BR,1547010915,97,-30.17,-50.22,73.87,8.08
43,Clyde River,90,CA,1547006400,63,70.47,-68.59,-5.81,16.11
44,Sao Filipe,0,CV,1547010918,97,14.9,-24.5,72.75,10.31
45,Fort Frances,90,CA,1547009700,75,48.61,-93.4,8.06,12.75
46,Morehead,1,US,1547010900,64,38.18,-83.43,42.98,11.41
47,Ginda,0,IN,1547011289,76,30.69,78.49,43.41,1.77
48,Saint-Philippe,90,CA,1547009700,100,45.36,-73.48,32.36,7.14
49,San Jose,0,PH,1547011412,65,15.79,120.99,81.12,8.86
50,Nandurbar,0,IN,1547011415,51,21.36,74.24,72.75,6.06
51,Westport,56,IE,1547011311,100,53.8,-9.52,42.87,2.04
52,Tual,64,ID,1547011415,100,-5.67,132.75,83.28,15.3
53,Natal,75,BR,1547010000,78,-5.81,-35.21,80.6,5.82
54,Lagoa,0,PT,1547008200,75,37.14,-8.45,44.6,2.24
55,Muncar,0,ID,1547011415,74,-8.43,114.34,87.55,0.58
56,Rome,75,IT,1547009400,87,41.89,12.48,48.2,9.17
57,Ifo,0,NG,1547006400,88,6.81,3.2,77.0,3.36
58,Jamestown,0,AU,1547010907,67,-33.21,138.6,72.66,8.37
59,Sitka,0,US,1547010905,73,37.17,-99.65,26.53,2.82
60,Xam Nua,92,LA,1547011416,72,20.42,104.04,68.7,2.82
61,Faya,0,SA,1547006400,87,18.39,42.45,51.8,2.71
62,Kutum,0,SD,1547011325,35,14.2,24.66,48.09,10.09
63,Gamba,12,CN,1547011417,85,28.28,88.52,8.94,3.0
64,Vestmanna,88,FO,1547009400,81,62.16,-7.17,42.8,11.41
65,Tzaneen,20,ZA,1547010000,72,-23.83,30.16,64.4,4.7
66,Charters Towers,100,AU,1547010937,96,-20.07,146.27,75.99,14.34
67,Carnarvon,0,ZA,1547010142,34,-30.97,22.13,72.3,6.13
68,Marsh Harbour,32,BS,1547011417,100,26.54,-77.06,72.48,4.38
69,Rovaniemi,90,FI,1547009400,85,66.5,25.72,12.2,10.29
70,San Matias,20,HN,1547010000,77,13.97,-86.63,60.8,2.59
71,Avarua,20,CK,1547006400,57,-21.21,-159.78,78.8,5.82
72,Grindavik,90,IS,1547010000,100,63.84,-22.43,48.2,26.4
73,Namwala,92,ZM,1547011418,100,-15.75,26.45,66.99,6.73
74,Filingue,68,NE,1547011418,45,14.35,3.32,51.82,7.02
75,Alma,1,US,1547009700,79,40.1,-99.36,26.42,4.7
76,Saskylakh,8,RU,1547010944,0,71.97,114.09,-41.56,8.81
77,Hilo,1,US,1547009580,84,19.71,-155.08,69.08,4.7
78,Kapaa,40,US,1547006160,71,22.08,-159.32,75.92,5.82
79,Kodiak,1,US,1547009700,71,39.95,-94.76,34.34,4.7
80,Ayan,0,TR,1547011419,53,40.67,33.6,-7.54,2.04
81,Tharad,0,IN,1547011419,44,24.39,71.63,69.42,6.73
82,Samarai,0,PG,1547010903,100,-10.62,150.67,83.82,12.88
83,Chuy,32,UY,1547009862,94,-33.69,-53.46,72.21,12.66
84,Ust-Maya,12,RU,1547011420,62,60.42,134.54,-34.72,2.71
85,Klaksvik,68,FO,1547009400,81,62.23,-6.59,42.8,11.41
86,Nishihara,20,JP,1547010000,20,35.74,139.53,46.4,17.22
87,Cockburn Town,92,TC,1547011319,100,21.46,-71.14,78.06,13.44
88,Cape Town,20,ZA,1547006400,82,-33.93,18.42,64.4,13.87
89,Mount Gambier,75,AU,1547006400,45,-37.83,140.78,64.4,14.99
90,Ayagoz,88,KZ,1547011421,91,47.96,80.43,26.13,17.47
91,Hithadhoo,80,MV,1547011225,100,-0.6,73.08,80.67,11.83
92,Dehloran,92,IR,1547011482,89,32.69,47.27,51.06,7.25
93,Tuktoyaktuk,75,CA,1547008080,66,69.44,-133.03,-32.81,2.24
94,Port Alfred,64,ZA,1547009858,98,-33.59,26.89,70.95,5.84
95,Vostok,64,RU,1547011301,58,46.45,135.83,7.27,8.3
96,Macamic,90,CA,1547010000,100,48.75,-79.0,26.6,2.24
